         532113 function calls (529176 primitive calls) in 1.863 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      366    1.267    0.003    1.267    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.201    0.201    0.201    0.201 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.029    0.029    0.029    0.029 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.029    0.029    0.029    0.029 {method 'connect' of '_socket.socket' objects}
     4216    0.028    0.000    0.148    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\html\parser.py:389(parse_starttag)
        1    0.023    0.023    0.023    0.023 {built-in method _socket.getaddrinfo}
    42897    0.020    0.000    0.020    0.000 {method 'match' of 're.Pattern' objects}
        2    0.018    0.009    0.243    0.122 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\html\parser.py:189(goahead)
       45    0.016    0.000    0.016    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     4216    0.013    0.000    0.021    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\builder\__init__.py:382(_replace_cdata_list_attribute_values)
     4216    0.011    0.000    0.065    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\__init__.py:990(handle_starttag)
     3987    0.009    0.000    0.054    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\html\parser.py:447(parse_endtag)
     8758    0.008    0.000    0.034    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\__init__.py:829(endData)
     4217    0.008    0.000    0.033    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\element.py:1813(__init__)
     4216    0.008    0.000    0.076    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\builder\_htmlparser.py:142(handle_starttag)
    12323    0.007    0.000    0.007    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\element.py:382(setup)
     4143    0.007    0.000    0.007    0.000 {built-in method __new__ of type object at 0x00007FFC55B998A0}
    23702    0.006    0.000    0.006    0.000 {method 'group' of 're.Match' objects}
     4216    0.006    0.000    0.038    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\builder\_htmlparser.py:204(handle_endtag)
12494/9670    0.006    0.000    0.013    0.000 {method 'sub' of 're.Pattern' objects}
     4215    0.005    0.000    0.010    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\__init__.py:953(_popToTag)
    16777    0.005    0.000    0.008    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\_markupbase.py:44(updatepos)
     4053    0.005    0.000    0.011    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\__init__.py:870(object_was_parsed)
     8621    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
     4053    0.004    0.000    0.009    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\element.py:1478(__new__)
     4217    0.004    0.000    0.005    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\__init__.py:812(pushTag)
     3268    0.004    0.000    0.004    0.000 {method 'findall' of 're.Pattern' objects}
    23202    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
    27252    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
       45    0.004    0.000    0.020    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\urllib3\response.py:137(decompress)
    21754    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
     4053    0.004    0.000    0.006    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\__init__.py:735(string_container)
       72    0.003    0.000    0.018    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\filter.py:130(filter)
    22432    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
     4216    0.003    0.000    0.004    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\__init__.py:789(popTag)
28558/28548    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
     9126    0.003    0.000    0.003    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\typing.py:426(inner)
     4215    0.003    0.000    0.032    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\__init__.py:1056(handle_endtag)
